,0,1
773,CEP120,2
774,HLTF,3
775,ZBED6,3
776,SOX5,3
777,BID,2
778,GHDC,2
779,ZNF362,2
780,DMBT1,3
781,NFATC1,2
782,FAM110A,2
783,PIWIL1,2
784,ZNF514,2
785,DHFR,2
786,SERPINI1,2
787,PRNCR1,3
788,IGHV3-23,5
789,EPSTI1,3
790,RPUSD4,2
791,SARS2,2
792,CEP162,2
793,PCSK1N,3
794,KDELR3,3
795,HPS3,2
796,KRT4,2
797,STEAP3,2
798,TRAK2,2
799,IGKV4-1,4
800,RALGPS2,2
801,ADCY7,2
802,LINC01184,3
803,IFIT2,4
804,IGSF9,2
805,CLSTN3,2
806,LAMB1,2
807,RMI2,2
808,TTC6,2
809,HERC6,2
810,ADAM8,3
811,IFT46,2
812,STYXL1,3
813,TSPYL4,2
814,GPAM,2
815,TECPR2,2
816,PITPNM3,2
817,CPSF3,3
818,SSPN,3
819,DPP4,2
820,BTN2A2,5
821,RAPGEF5,2
822,MIER3,2
823,NBPF1,2
824,LILRB4,3
825,PLAU,3
826,GALNT6,2
827,USP9Y,2
828,FADS1,2
829,FAM114A1,2
830,MAF,2
831,POLE,2
832,FAM184A,2
833,PLCH1,2
834,VWA5A,4
835,C1orf131,2
836,ABHD3,2
837,ARNT2,2
838,SMIM10L2A,2
839,CYP51A1,3
840,SOBP,3
841,CP,2
842,CASC15,2
843,NR4A2,2
844,DDX58,2
845,WDR89,2
846,E2F3,2
847,IGHV4-39,3
848,IGHV5-51,4
849,ERAP2,4
850,JCHAIN,5
851,GALT,2
852,IGLV3-1,3
853,RASA4,2
854,SLC1A1,2
855,ATP10B,2
856,FAS,2
857,IGLV1-47,3
858,RCAN1,2
859,RNF150,2
860,IGLV1-40,2
861,INHBA,2
862,IGHV4-59,2
863,IGHV1-18,2
864,IGHV3-7,2
865,NFASC,2
866,EEF1G,3
867,BBOX1,2
868,CD3G,2
869,EIF5AL1,5
870,ERMARD,3
871,ERVK3-1,2
872,PXK,2
873,CTSK,5
874,LANCL1,2
875,AHDC1,2
876,CACHD1,2
877,LGR4,2
878,HCK,2
879,FHL2,2
880,LCP1,2
881,PDLIM4,3
882,MICALL2,2
883,GPNMB,2
884,LINC00685,3
885,ELK3,3
886,DKK3,2
887,TERF2,2
888,TSPAN11,2
889,MYD88,3
890,HID1,2
891,ANKRD36C,3
892,KLF2,2
893,VPS33A,2
894,TARS2,2
895,PLEKHA2,2
896,SH3BP4,2
897,PLEKHA4,2
898,CHST15,3
899,FRMD8,2
900,EHBP1L1,2
901,CCL2,4
902,RBM38,2
903,FERMT1,2
904,TTLL3,2
905,MIPOL1,2
906,ITGA6,2
907,NAPRT,2
908,PTCHD1,2
909,ZNF320,2
910,GABPA,2
911,CEP63,2
912,POLD4,2
913,GPSM2,2
914,SORL1,2
915,COL17A1,2
916,TNC,2
917,ZMAT1,2
918,AC159540.1,2
919,CDH3,2
920,SLC7A6OS,2
921,MTF1,2
922,CHORDC1,2
923,AP4S1,2
924,CROT,2
925,MON1B,2
926,CD84,3
927,EHMT2,2
928,MGA,2
929,SOCS4,2
930,CASP8,2
931,SEMA4A,3
932,COL1A1,2
933,HAUS6,2
934,COL27A1,2
935,C15orf48,4
936,LRIG3,2
937,CASP8AP2,2
938,LPAR6,2
939,ZFC3H1,2
940,PGM2L1,3
941,CX3CL1,3
942,RNF19B,2
943,GATM,3
944,ZNF621,2
945,COL18A1,2
946,TP63,2
947,GBP3,2
948,TTC21B,2
949,MYCBP,2
950,DSTYK,2
951,NCBP1,2
952,AKR1B1,2
953,FAM89B,2
954,CAPN5,3
955,FAM98B,2
956,ITM2C,4
957,LRRCC1,4
958,DLL4,2
959,RGL1,2
960,SAA2,2
961,TGFBI,4
962,RARRES2,2
963,KCNN4,3
964,LINC01106,2
965,CCDC58,2
966,PHLDA1,3
967,TRIM23,3
968,CALD1,2
969,SOAT1,2
970,USP27X,2
971,CD69,2
972,KCNE3,2
973,SEPHS1,2
974,ERC1,2
975,INPP5D,2
976,JADE2,2
977,FAM228B,2
978,RAC2,2
979,ANKRA2,2
980,PSD3,2
981,THBD,2
982,ZNF500,2
983,RASGEF1B,2
984,SHROOM4,2
985,TMEM237,2
986,RCAN2,2
987,TMPRSS4,2
988,ZNF793,2
989,TUBGCP3,2
990,CBWD5,2
991,SAA1,2
992,CEP44,2
993,MSANTD4,2
994,SDC2,2
995,TRAF3IP3,2
996,NUGGC,2
997,RHBDD1,2
